"id","lng","lat","name","road","road_id","url"
"23","-75.192581","39.9435","I-76 EB @ University Ave","Interstate 76","i76","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam156.jpg"
"24","-75.191364","39.9447","I-76 EB East of South Street","Interstate 76","i76","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam155.jpg"
"25","-75.34865","39.9452","I-476 SB N of PA320","Interstate 476","i476","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam197.jpg"
"26","-75.34865","39.9452","I-476 NB-North of US 1","Interstate 476","i476","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam011.jpg"
"27","-75.185261","39.9488","I-76 WB West of South Street","Interstate 76","i76","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam154.jpg"
"28","-75.581867","39.9505","US 202 NB N of Westtn R","U.S. 202","us202","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam063.jpg"
"29","-75.581867","39.9505","US 202 NB S of Bolmar S","U.S. 202","us202","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam064.jpg"
"30","-75.141083","39.953","I-95 NB 95@Vine Exp/BF Bridge","Interstate 95","i95","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam093.jpg"
"31","-75.181406","39.9538","I-76 WB @ 30th St","Interstate 76","i76","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam153.jpg"
"32","-75.33735","39.954","I-476 NB-Reed Rd","Interstate 476","i476","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam012.jpg"
"33","-75.180619","39.9557","I-76 WB East of I-676","Interstate 76","i76","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam152.jpg"
"34","-75.140833","39.9559","I-95 NB 95@Race St.","Interstate 95","i95","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam026.jpg"
"35","-75.152567","39.9569","I-676EB 676@8th St","Interstate 676","i676","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam177.jpg"
"36","-75.1449","39.957","I-676EB 676@3rd St","Interstate 676","i676","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam178.jpg"
"37","-75.157267","39.9573","I-676WB 676@11th St","Interstate 676","i676","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam132.jpg"
"38","-75.16175","39.9577","I-676WB 676@Broad St","Interstate 676","i676","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam131.jpg"
"39","-75.165367","39.9581","I-676EB 676@16th St","Interstate 676","i676","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam130.jpg"
"40","-75.140983","39.9585","I-95 NB Ramp to I-476 North","Interstate 95","i95","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam010.jpg"
"41","-75.140983","39.9585","I-95 SB @Vine/Callowhill","Interstate 95","i95","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam027.jpg"
"42","-75.168733","39.9588","I-676WB 676@18th St","Interstate 676","i676","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam129.jpg"
"43","-75.17245","39.959","I-676EB 676@Ben Franklin Pkwy","Interstate 676","i676","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam127.jpg"
"44","-75.171117","39.959","I-676WB 676@20th St","Interstate 676","i676","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam128.jpg"
"45","-75.178483","39.96","I-676WB 676@24th St","Interstate 676","i676","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam126.jpg"
"46","-75.181756","39.9604","I-76 EB @ I-676","Interstate 76","i76","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam151.jpg"
"47","-75.333617","39.9633","I-476 NB-Blue Rt","Interstate 476","i476","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam013.jpg"
"48","-75.184433","39.9641","I-76 WB Spring Garden","Interstate 76","i76","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam150.jpg"
"49","-75.5815","39.9672","US 202 NB @ W Chester P","U.S. 202","us202","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam062.jpg"
"50","-75.192289","39.9694","I-76 EB West of Spring Garden","Interstate 76","i76","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam149.jpg"
